,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-T005013001,,SIZE,,,,M5X0.8X13 SCREW PAN,,,
,DATE,,6/4/2025,,MACHINE,,,,64S,,,
,WIRE DIA,,Ø5.75,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4, M6 HHS/HHB,,,
,1,T.01.0.071.001,Feed Roll   ,2,-,-,-,-,,,,
,2,T.01.0.075.001,Quill ,1,-,-,-,-,,,,
,3,T.01.0.076.001,Cutter Holder,1,-,-,-,-,,,,
,4,T.01.0.073.001,Cutter  ,1,-,-,-,-,,,,
,5,T.01.1.078.001,Transfer Finger (R.H.) S,2,-,-,-,-,M5 TORX,,,
,6,T.01.1.077.001,Transfer Finger (L.H.) S,2,-,-,-,-,M5 TORX,,,
,7,T.01.1.078.002,Transfer Finger (R.H.) M,2,-,-,-,-,M5 TORX,,,
,8,T.01.1.077.002,Transfer Finger (L.H.) M,2,-,-,-,-,M5 TORX,,,
, 1ST STATION,,,,,,,,,,,
,1,T.01.0.001.001,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.1.005.001,Punch Insert,1,-,-,-,-,M5 TORX,,,
,3,T.01.1.006.001,Punch pin ,1,-,-,-,-,M5 TORX,,,
,4,T.01.1.004.002,Punch Step Filler ,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.001,Punch Filler,1,,,,,M6 HHS/HHB,,,
,6,T.01.1.058.001,Pre Pointing Die (40),1,-,-,-,-,M5 TORX,,,
,7,T.01.1.056.001,Back Filler (35),2,-,-,-,-,M5 TORX,,,
,8,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,9,T.01.0.044.045,K.O Pin,1,-,-,-,-,M5 HHS,,,
,10,T.01.0.045.032,K.O Head,1,-,-,-,-,M5 HHS,,,
, 2ND STATION,,,,,,,,,,,
,1,T.01.0.001.001,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.1.005.002,Punch Insert,1,-,-,-,-,M5 TORX,,,
,3,T.01.1.006.002,Trap pin ,1,-,-,-,-,M5 TORX,,,
,4,T.01.1.004.002,Punch Step Filler ,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.001,Punch Filler,1,,,,,M6 HHS/HHB,,,
,6,T.01.1.084.001,Trap Ext Die (40),1,-,-,-,-,M5 TORX,,,
,7,T.01.1.056.002,Back Filler (35),2,-,-,-,-,M5 TORX,,,
,8,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,9,T.01.0.044.045,K.O Pin,1,-,-,-,-,M5 HHS,,,
,10,T.01.0.045.032,K.O Head,1,-,-,-,-,M5 HHS,,,
, 3RD STATION,,,,,,,,,,,
,1,T.01.0.001.011,Sliding Punch Case ,1,-,-,-,-,M6 Earth Bolt,,,
,2,T.01.0.066.002,Sliding Punch,1,-,-,-,-,N,,,
,3,T.01.0.006.014,Sliding Punch Pin,1,-,-,-,-,N,,,
,4,T.01.1.099.001,Spring,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.038,Spring Filler,1,-,-,-,-,M5 TORX,,,
,6,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,7,T.01.0.059.001,Front Die (50),1,-,-,-,-,N,,,
,8,T.01.1.056.003,Back Filler (30),2,-,-,-,-,M5 TORX,,,
,9,T.01.0.044.045,K.O Pin,1,-,-,-,-,M5 HHS,,,
,10,T.01.0.045.032,K.O Head,1,-,-,-,-,M5 HHS,,,
,4TH  STATION,,,,,,,,,,,
,1,T.01.0.001.013,Punch case ,1,-,-,-,-,N,,,
,2,JMP M50 PUNCH,Heading Insert,1,-,-,-,-,N,,,
,3,T.01.1.046.001,Die Case,1,-,-,-,-,M5 TORX,,,
,4,T.01.0.047.001,Lock Nut,1,-,-,-,-,M6 HHS/HHB,,,
,5,T.01.0.050.015,Top Nib (2.60),1,-,-,-,-,N,,,
,6,T.01.1.052.001,Semi Form Die (50),1,-,-,-,-,M5 TORX,,,
,7,T.01.0.056.071,Back Filler (17.40),1,-,-,-,-,N,,,
,8,T.01.1.049.001,Nut Bushing (40),1,-,-,-,-,M5 TORX,,,
,9,T.01.0.044.045,K.O Pin,1,-,-,-,-,M5 HHS,,,
,10,T.01.0.045.032,K.O Head,1,-,-,-,-,M5 HHS,,,
, Prepared By :                                                                            Checked By:                                                                              Approved By:,,,,,,,,,,,
,,,,,,,,,FORMAT NO:FT/DES/08,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
