,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-P005026401/P005028401,,SIZE,,,,M5X0.8XL PAN HEAD SCREWS,,,
,DATE,,5/8/2025,,MACHINE,,,,64S,,,
,WIRE DIA,,Ø5.75,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4, M6 HHS/HHB,,,
,1,T.01.0.071.001,Feed Roll   ,2,-,-,-,-,,,,
,2,T.01.0.075.001,Quill ,1,-,-,-,-,,,,
,3,T.01.0.076.001,Cutter Holder,1,-,-,-,-,,,,
,4,T.01.0.073.001,Cutter  ,1,-,-,-,-,,,,
,5,T.01.0.078.004,Transfer Finger (R.H.) S,1,-,-,-,-,,,,
,6,T.01.0.077.004,Transfer Finger (L.H.) S,1,-,-,-,-,,,,
,7,T.01.1.078.002,Transfer Finger (R.H.) M,3,-,-,-,-,M5 TORX,,,
,8,T.01.1.077.002,Transfer Finger (L.H.) M,3,-,-,-,-,M5 TORX,,,
, 1ST STATION,,,,,,,,,,,
,1,T.01.0.001.001,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.1.005.001,Punch Insert,1,-,-,-,-,M5 TORX,,,
,3,T.01.1.006.001,Punch pin ,1,-,-,-,-,M5 TORX,,,
,4,T.01.0.004.041,Punch Step filler ,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.001,Punch filler,1,a,-,-,-,M6 HHS/HHB,,,
,6,T.01.1.058.001,Pre Pointing Die (40),1,-,-,-,-,M5 TORX,,,
,7,T.01.1.056.001,Back Filler (35),2,-,-,-,-,M5 TORX,,,
,8,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,9,T.01.0.044.045,K.O Pin,1,-,-,-,-,M5 TORX,,,
,10,T.01.0.045.032,K.O Head,1,-,-,-,-,M5 TORX,,,
, 2ND STATION,,,,,,,,,,,
,1,T.01.0.001.001,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.0.005.022,Punch Insert,1,-,-,-,-,N,,,
,3,T.01.0.006.012,Trap pin ,1,-,-,-,-,N,,,
,4,T.01.0.004.041,Punch Step filler ,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.001,Punch filler,1,a,-,-,-,M6 HHS/HHB,,,
,6,T.01.0.084.007,Trap Ext Die (50),1,-,-,-,-,N,,,
,7,T.01.0.056.068,Back Filler (30),2,-,-,-,-,N,,,
,8,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,9,T.01.0.044.045,K.O Pin,1,-,-,-,-,M5 TORX,,,
,10,T.01.0.045.032,K.O Head,1,-,-,-,-,M5 TORX,,,
, 3RD STATION,,,,,,,,,,,
,1,T.01.0.001.005,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,JMP M50,Punch Insert,1,-,-,-,-,N,,,
,3,T.01.0.006.007,Die Case,1,-,-,-,-,N,`,,
,4,T.01.0.047.001,Die Lock Nut,1,-,-,-,-,M6 HHS/HHB,,,
,5,T.01.0.050.014,Top Nib (12.35),1,-,-,-,-,N (M5X26),,,
,6,T.01.0.050.013,Top Nib (14.10),1,-,-,-,-,N (M5X28),,,
,7,T.01.0.058.028,Double Pointing Die(50),1,-,-,-,-,N,,,
,8,T.01.0.049.020,Nut Bushing (47.65),1,-,-,-,-,N (M5X26),,,
,9,T.01.0.049.021,Nut Bushing (45.90),1,-,-,-,-,N (M5X28),,,
,10,T.01.0.044.036,K.O Pin,1,-,-,-,-,N,,,
,11,T.01.0.045.028,K.O Head,1,-,-,-,-,N,,,
, Prepared By :                                                                                  Checked By:                                                                              Approved By:,,,,,,,,,,,
,,,,,,,FORMAT NO:FT/DES/08,,,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
