,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-P006014981,,SIZE,,,,M6X1.0X14 TRUSS HEAD,,,
,DATE,,5/8/2025,,MACHINE,,,,TK-250,,,
,WIRE DIA,,Ø5.20,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4,,,,
,1,T.07.0.071.001,Feed Roll   ,2,-,-,-,-,N,,,
,2,T.07.0.075.003,Quill ,1,-,-,-,-,N,,,
,4,T.07.0.073.003,Cutter  ,1,a,-,-,-,N,,,
, 1ST STATION,,,,,,,,,,,
,1,T.07.0.001.005,Sliding Punch Case ,1,-,a,-,-,N,,,
,2,T.07.0.066.001,Sliding Punch,1,-,-,-,-,N,,,
,3,T.07.0.006.003,Sliding Punch pin ,1,-,-,-,-,N,,,
,4,T.07.0.099.001,Spring,1,-,-,-,-,N,,,
,5,T.07.0.004.017,Spring Filler,1,-,-,-,-,N,,,
,6,T.07.0.080.001,Front Die (40),1,a,-,-,-,N,,,
,7,T.07.0.056.001,Back Filler (25),1,a,-,-,-,N,,,
,8,T.07.0.056.002,Back Filler (36),1,a,-,-,-,N,,,
,9,T.07.0.046.001,Die Case,1,-,-,-,-,N,,,
,10,T.07.0.044.001,K.O Pin-1,1,-,-,-,-,N,,,
,11,T.07.0.045.002,K.O Pin-2,1,a,-,-,-,N,,,
, 2ND STATION,,,,,,,,,,,
,1,T.07.0.001.002,Punch Case ,1,-,a,-,-,N,,,
,2,JMT M60,Punch Insert,1,-,-,-,-,N,,,
,3,T.07.0.004.015,Punch Spacer,1,-,-,-,-,N,,,
,4,T.07.0.022.002,Punch Sleeve,1,a,-,-,-,N,,,
, Prepared By :                                                                     Checked By:                                                                              Approved By:,,,,,,,,,,,
,,,,,,,FORMAT NO:FT/DES/08,,,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
