,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-C006010581,,SIZE,,,,M6X1.0PX10 SBH SCREW,,,
,DATE,,04/21/2025,,MACHINE,,,,64S,,,
,WIRE DIA,,Ø5.75,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4, M6 HHS/HHB,,,
,1,T.01.0.071.001,Feed Roll   ,2,-,-,-,-,,,,
,2,T.01.0.075.001,Quill ,1,-,-,-,-,,,,
,3,T.01.0.076.001,Cutter Holder,1,-,-,-,-,,,,
,4,T.01.0.073.001,Cutter  ,1,-,-,-,-,,,,
,5,T.01.0.078.004,Transfer Finger (R.H.) M,1,-,-,-,-,,,,
,6,T.01.0.077.004,Transfer Finger (L.H.) M,1,-,-,-,-,,,,
,7,T.01.0.078.001,Transfer Finger (R.H.) S,2,-,-,-,-,,,,
,8,T.01.0.077.001,Transfer Finger (L.H.) S,2,-,-,-,-,,,,
, 1ST STATION,,,,,,,,,,,
,1,T.01.0.001.001,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.1.005.002,Punch Insert,1,-,-,-,-,M5 TORX,,,
,3,T.01.1.006.002,Trap pin ,1,-,-,-,-,M5 TORX,,,
,4,T.01.0.004.037,Punch filler ,1,a,-,-,-,M6 HHS/HHB,,,
,5,T.01.0.004.037,Punch filler,1,a,-,-,-,M6 HHS/HHB,,,
,6,T.01.0.084.008,Trap Ext Die (50),1,-,-,-,-,LBU00273,,,
,7,T.01.0.056.002,Back Filler (35),1,-,-,-,-,M6 HHS,,,
,8,T.01.0.056.075,Back Filler (25),1,-,-,-,-,N,,,
,9,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,10,T.01.0.044.009,K.O Pin,1,-,-,-,-,M6 SHCS,,,
,11,T.01.0.045.009,K.O Head,1,-,-,-,-,M6 SHCS,,,
, 2ND STATION,,,,,,,,,,,
,1,T.01.0.001.011,Sliding Punch Case ,1,-,-,-,-,M5 TORX,,,
,2,T.01.0.066.001,Sliding Punch,1,-,-,-,-,N,,,
,3,T.01.0.006.019,Sliding Punch Pin,1,-,-,-,-,N,,,
,4,T.01.0.099.002,Spring,1,-,-,-,-,N,,,
,5,T.01.0.004.038,Punch Spacer,1,-,-,-,-,N,,,
,6,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,7,T.01.0.051.008,Front Die (30),1,-,-,-,-,N,,,
,8,T.01.1.056.067,Back Filler (30),1,-,-,-,-,M6 EARTH BOLT,,,
,9,T.01.0.056.066,BACK FILLER (25),2,-,-,-,-,M6 EARTH BOLT,,,
,10,T.01.0.044.009,K.O Pin,1,-,-,-,-,M6 SHCS,,,
,11,T.01.0.045.009,K.O Head,1,-,-,-,-,M6 SHCS,,,
,3RD  STATION,,,,,,,,,,,
,1,T.01.0.001.005,Punch case ,1,-,-,-,-,M6 SHCS/SHCB,,,
,2,T.01.0.004.039,Punch Spacer,1,-,-,-,-,N,,,
,3,T.01.0.004.040,Punch Spacer,1,-,-,-,-,N,,,
,4,22-12 Socket Button Head,Punch Insert,1,-,-,-,-,N,,,
,5,T.01.0.046.005,Die Case,1,-,-,-,-,M6 SHCS/SHCB,,,
,6,T.01.0.047.001,Lock Nut,1,-,-,-,-,M6 HHS/HHB,,,
,7,T.01.0.052.004,Semi Form Die (40),1,-,-,-,-,M6 SHCS,,,
,8,T.01.0.056.076,Back Filler (25),1,-,-,-,-,N,,,
,9,T.01.0.049.012,Nut Bushing (45),1,-,-,-,-,M6 HEX FLANGE,,,
,10,T.01.0.044.010,K.O Pin,1,-,-,-,-,M6 SHCS,,,
,11,T.01.0.045.010,K.O Head,1,-,-,-,-,M6 SHCS,,,
, Prepared By :                                                                     Checked By:                                                                              Approved By:,,,,,,,,,,,
,,,,,,,FORMAT NO:,,,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
