,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-W006009582,,SIZE,,,,M6X1.0PX9 SOCKET STEP SCREW,,,
,DATE,,21.05.2025,,MACHINE,,,,64S,,,
,WIRE DIA,,Ø5.75,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4, M6 HHS/HHB,,,
,1,T.01.0.071.001,Feed Roll   ,2,-,-,-,-,,,,
,2,T.01.0.075.001,Quill ,1,-,-,-,-,,,,
,3,T.01.0.076.001,Cutter Holder,1,-,-,-,-,,,,
,4,T.01.0.073.001,Cutter  ,1,-,-,-,-,,,,
,5,T.01.0.078.004,Transfer Finger (R.H.) M,1,-,-,-,-,,,,
,6,T.01.0.077.004,Transfer Finger (L.H.) M,1,-,-,-,-,,,,
,7,T.01.0.078.001,Transfer Finger (R.H.) S,2,-,-,-,-,,,,
,8,T.01.0.077.001,Transfer Finger (L.H.) S,2,-,-,-,-,,,,
, 1ST STATION,,,,,,,,,,,
,1,T.01.0.001.001,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.1.005.001,Punch Insert,1,-,-,-,-,M5 TORX,,,
,3,T.01.1.006.001,Trap pin ,1,-,-,-,-,M5 TORX,,,
,4,T.01.1.004.002,Punch Step Filler ,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.001,Punch Filler,1,a,-,-,-,M6 HHS/HHB,,,
,6,T.01.0.084.008,Trap Ext Die (50),1,-,-,-,-,N,,,
,7,T.01.0.056.078,Back Filler (30),2,-,-,-,-,M6 EARTH BOLT,,,
,9,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,10,T.01.0.044.037,K.O Pin,1,-,-,-,-,M6 EARTH BOLT,,,
,11,T.01.0.045.025,K.O Head,1,-,-,-,-,M6 EARTH BOLT,,,
, 2ND STATION,,,,,,,,,,,
,1,T.01.0.001.011,Sliding Punch Case ,1,-,-,-,-,M5 TORX,,,
,2,T.01.0.066.001,Sliding Punch,1,-,-,-,-,N,,,
,3,T.01.0.006.013,Sliding Punch Pin,1,-,-,-,-,N,,,
,4,T.01.1.099.001,Spring,1,-,-,-,-,N,,,
,5,T.01.0.004.038,Punch Spacer,1,-,-,-,-,M6 SOCKET BUTTON HEAD,,,
,6,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,7,T.01.0.059.001,Front Die (50),1,-,-,-,-,N,,,
,8,T.01.0.056.078,Back Filler (30),2,-,-,-,-,M6 EARTH BOLT,,,
,10,T.01.0.044.037,K.O Pin,1,-,-,-,-,M6 EARTH BOLT,,,
,11,T.01.0.045.025,K.O Head,1,-,-,-,-,M6 EARTH BOLT,,,
,3RD  STATION,,,,,,,,,,,
,1,T.01.0.001.014,Punch case ,1,-,-,-,-,N,,,
,2,T.01.0.021.022,Punch Insert,1,-,-,-,-,N,,,
,3,T.01.0.004.041,Punch Step Filler ,1,-,-,-,-,N,,,
,4,T.01.0.004.001,Punch Fiiller,1,a,-,-,-,M6 HHS/HHB,,,
,5,T.01.0.046.008,Die Case,1,-,-,-,-,N,,,
,6,T.01.0.047.001,Lock Nut,1,-,-,-,-,M6 HHS/HHB,,,
,7,T.01.0.050.019,Top Nib (2.5),1,-,-,-,-,N,,,
,8,T.01.0.058.027,Front Die (50),1,-,-,-,-,N,,,
,9,T.01.0.056.077,Back Filler (17.5),1,-,-,-,-,N,,,
,10,T.01.0.049.022,Nut Bushing (40),1,-,-,-,-,N,,,
,11,T.01.0.044.037,K.O Pin,1,-,-,-,-,M6 EARTH BOLT,,,
,12,T.01.0.045.025,K.O Head,1,-,-,-,-,M6 EARTH BOLT,,,
, Prepared By :                                                                                         Checked By:                                                                                  Approved By:,,,,,,,,,,,
,,,,,,,,,FORMAT NO: FT/DES/08,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
