,,,,,,,
," Master Tools Pre / Post qualification
(Tick relevant)",,,,,,
,Date:,03/22/2025,Part No. G110027981,,Desc:M10x1.25xL FLANGE BOLT,,
,M/c:,164S,Shift:,,Operator:,,
,Cut off station,,,,,,
,Parameters,,Spec.,,Parameters,,Spec.
,Quill,Bore,13.75-13.77,,Cutter,Bore,13.87-13.89
,,Cutting edge,No damage,,,Cutting edge,No damage
,Die side,,,,Punch  side,,
,Parameters,,Spec.,,Parameters,,Spec.
,I Station,,,,,,
,1st Die Bore,,14-17-14.18,,Cone Inner Dia,,13.75.1377
,2nd Trap Ext. Die Bore,,14.15-14.16,,Pin dia,,13.70-13.72
,Ext. land Dia,,9.00-9.01,,Pin Length,,90.00
,Relief Dia,,9.05-9.06,,,,
,OAL,,214.90-215.10,,,,
,II Station,,,,,,
,1st Bore,,9.05-9.06,,H/D Insert Profile Dia,,16.00-16.10
,Mouth Dia ,,26.05-26.10,,H/D Insert Mouth Dia,,24.90-25.00
,Front Forming Angle,,11°,,Champher Angle,,30°
,OAL,,214.90-215.10,,Grade,,-
,III Station,,,,,,
,1st Bore,,9.10-9.11,,Trim Die A/F,,16.80-16.85
,Washer Inner Dia,,31.20-31.25,,Forming Dia,,32.00-32.10
,Washer Outer Dia,,32.00 Ref.,,,,
,Washer  Depth,,0.40-0.50,,,,
,Washer Angle,,45°,,,,
,OAL,,214.90-215.10,,,,
,IV Station,,,,,,
,1st Bore,,9.16-9.18,,Trim Die Front ID,,31.60-31.62
,Washer Inner Dia,,31.30-31.35,,Trim Die Land Dia,,33.60-33.62
,Washer Outer Dia,,32.10 Ref.,,Inner Relief Angle,,6°
,Washer  Depth,,0.45-0.55,,,,
,Washer Angle,,45°,,,,
,OAL,,214.90-215.10,,,,
,General ( Common for all stations),,,,,,
,Visual:,,No damage,,Cone Insert Fit,,0.15-0.17
,Tightness,,No loose,,Heading Insert Fit,,0.15-0.17
,K.O Pin movement,,Free Movement,,HexTrim Die Fit,,0.15-0.17
,,,,,Round Trim Die Fit,,0.17-0.19
,,,,,,,
,Prepared by:                                                          Verified by:                                                 Approved by:,,,,,,
,                                                                                                                                                                                                                         Format No: FT/PRO/24,,,,,,
