,,,,,,,,
," Master Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No. G110027981,,Desc:M10x1.25xL FLANGE BOLT,,,
,M/c:,164S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,,Parameters,,Spec.,
,Quill,Bore,13.75 - 13.77,,Cutter,Bore,13.87 - 13.89,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,,Parameters,,Spec.,
,I Station,,,,,,,
,1st Die Bore,,14-12 - 14.14,,Cone Inner Dia,,13.95 - 13.97,
,2nd Pre Pointing Die Bore,,14.10 - 14.12,,Pin dia,,13.90 - 13.92,
,2nd Up To Pointing Length,,14.95 - 15.05,,Pin Length,,80,
,OAL,,214.90 - 215.10,,,,,
,II Station,,,,,,,
,1st Die Bore,,14.32 - 14.34,,Cone Inner Dia,,14.15 - 14.17,
,2nd Trap Ext. Die Bore,,14.30 - 14.32,,Pin dia,,14.10 - 14.12,
,Ext. land Dia,,9.00 - 9.02,,Pin Length,,90.00,
,Relief Dia,,9.05 - 9.07,,,,,
,OAL,,214.90 - 215.10,,,,,
,III Station,,,,,,,
,1st Bore,,9.08 - 9.09,,H/D Insert Profile Dia,,16.00 - 16.10,
,Mouth Dia ,,26.05 - 26.10,,H/D Insert Mouth Dia,,24.90 - 25.00,
,Front Forming Angle,,11°,,Champher Angle,,30°,
,OAL,,214.90 - 215.10,,Grade,,-,
,IV Station,,,,,,,
,1st Bore,,9.14 - 9.15,,Trim Die A/F,,16.80 - 16.85,
,OAL,,214.90 - 215.10,,Forming Dia,,32.00 - 32.10,
,,,,,,,,
,General (Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Insert Fit,,0.15 - 0.17,
,Tightness,,No loose,,Heading Insert Fit,,0.15 - 0.17,
,K.O Pin movement,,Free Movement,,HexTrim Die Fit,,0.15 - 0.17,
,,,,,Round Trim Die Fit,,0.17 - 0.19,
,"Prepared by:                                                          Verified by:                                                 Approved by:
                                                                           QA Verified by:",,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
,"                                                                                                                                                                                                                                                                                                                          Date:22-03-2025        
                                                                                                                                                                                                                                                                                                                     ",,,,,,,Date:22-03-2025        
