,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No. G116033981,,"Desc:M16x1.5x33.0 Hexlobular Head Flange Screw
",,,
,M/c:,164S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,17.70 - 17.72,,Cutter,Bore,17.80 - 17.82,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Die Bore,,17.85 - 17.86,,Cone Inner Dia,,7.53 - 7.55 ,
,2nd Pre Pointing Die,,17.84 - 17.85,,Pin dia,,17.48 - 17.50,
,Length up to pointing,,23.00,,Pin Length,,95.00 - 95.10,
,OAL,,214.90 - 215.10,,,,,
,II Station,,,,,,,
,1st Bore,,18.05 - 18.06,,Cone Inner Dia,,17.73 - 17.75,
,2nd Trap Ext. Die ID,,18.04 - 18.05,,Pin dia,,17.68 - 17.70,
,Trap Ext. Die Land Dia,,14.82 - 14.83,,Pin Length,,100.00 - 100.10,
,Trap Ext. Die Relief Dia,,14.87 - 14.88,,Grade,,---,
,OAL,,214.90 - 215.10,,,,,
,III Station,,,,,,,
,1st Bore,,14.89 - 14.90,,Heading Insert Profile Front Dia,,15.00 Ref.,
,Mouth Dia,,35.00 Ref.,,Profile Angle,,110°,
,Mouth Angle,,17° Ref.,,Profile Back Dia,,18.90 - 19.10,
,OAL,,214.90 - 215.10,,1st Angle,,110°,
,,,,,1st Dia,,24.00 Ref.,
,,,,,2nd Angle,,130°,
,,,,,2nd Dia,,31.90 - 32.00,
,IV Station,,,,,,,
,1st Bore,,14.93 - 14.94,,Trim Die A/F,,22.85 - 22.90,
,2nd Bore,,14.92 - 14.93,,Trim Die A/F Radius,,7.25 R,
,,,,,Trim Die A/C,,26.92 Ref.,
,OAL,,214.90-215.10,,Trim Die A/C Radius,,2.10 R,
,General (Common for all stations),,,,,,,
,Visual:,,No damage,,1st Cone Insert Fit,,0.15 - 0.17,
,Tightness,,No loose,,2nd Cone Insert Fit,,0.15 - 0.17,
,K.O Pin movement,,Free Movement,,Heading Insert Fit,,0.17 - 0.19,
,,,,, Trim Die Fit,,0.15 - 0.17,
,"Prepared by:                                             Verified by:                                                   Approved by:
                                                              QA Verified by:",,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
,,,,,,,,Date : 22-03-2025
