
"Tools Pre / Post qualification
(Tick relevant)",,,,,,,,,,
Date:,,Part No. W008025981,,Desc:M8x1.25X25 SOCKET HEAD CAP SCREWS,,,,,,
M/c:,84S,Shift:,,Operator:,,,,,,
Cut off station,,,,,,,,,,
Parameters,,Spec.,Actual,Parameters,,Spec.,Actual,,,
Quill,Bore,7.14 - 7.16,,Cutter,Bore,7.24 - 7.26,,,,
,Cutting edge,No damage,,,Cutting edge,No damage,,,,
Die side,,,,Punch  side,,,,,,
Parameters,,Spec.,Actual,Parameters,,Spec.,Actual,,,
I Station,,,,,,,,,,
1st Bore,,7.03 - 7.04,,Cone profile,,10° (Per Side),,,,
2nd Bore,,7.03 - 7.05,,Cone Front ID,,9.98 - 10.02,,,,
OAL,,119.90 - 120.10,,Cone Back ID,,6.78 - 6.80,,,,
,,,,Pin dia,,6.78 - 6.80,,,,
,,,,Pin length,,40.00 - 40.10,,,,
II Station,,,,,,,,,,
Top Nib Front ID,,12.70 - 12.72,,Punch Profile Dia,,12.70 - 12.75,,,,
Top Nib Back ID,,11.62 Ref.,,Depth,,0.65 Ref.,,,,
Top Nib Length,,6.25 - 6.35,,Grade,,A-800,,,,
1st Die ID,,7.06 - 7.07,,,,,,,,
2nd Die ID,,7.06 - 7.07,,,,,,,,
OAL,,119.90 - 120.10,,,,,,,,
III Station,,,,,,,,,,
Top Nib Front ID,,12.8 - 12.85,,Pin Insert ID,,10.12 - 10.14,,,,
Top Nib ID Angle,,1°,,Pin Dia,,9.96 - 9.98,,,,
Top Nib Length,,7.95 - 8.05,,Pin Length ,,44.00 - 44.20,,,,
1st Die ID,,7.08 - 7.09,,Pin A/F,,6.10 - 6.12,,,,
2nd Die ID,,7.08 - 7.09,,,,,,,,
Upto Pointing Length,,22.76 - 22.81,,,,,,,,
OAL,,119.90 - 120.10,,,,,,,,
General (Common for all stations),,,,,,,,,,
Visual:,,No damage,,Cone Inser Fit,,0.10-0.12,,,,
Tightness,,No loose,,Heading Insert Fit,,0.10-0.12,,,,
K.O Pin movement,,Free Movement,,Pin Insert Fit ,,0.10-0.12,,,,

"Prepared by:                                            Verified by:                                             Approved by:
                                                             QA Verified by:",,,,,,,,,,
Note:,For punch side parameters to be filled based on part no.,,,,,,,,,
,,,,,,,Format No: FT/TR/23,,,
,,,,,,,Date:23-03-2026,,,
