,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,06/12/2025,Part No. 102W315106,,Desc:M8x1.25x39.5 D-D Bolt ,,,
,M/c:,84S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,7.85,,Cutter,Bore,7.95,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,Mouth Dia,,9.75 - 9.76,,Cone profile,,Including 16°,
,Ext. land Dia,,7.00 - 7.01,,Cone ID,,7.85 - 7.87,
,Mouth Angle,,15 Deg Per Side,,Mouth Dia,,9.75 - 9.77,
,Relief Dia,,7.05 - 7.06,,Pin dia,,7.80 - 7.82,
,OAL,,119.90-120.10,,Pin length,,40.00 - 40.10,
,II Station,,,,,,,
,1st Bore,,7.04 - 7.05,,Punch Pin Dia,,10.38 - 10.40,
,OAL,,119.90-120.10,,Punch Pin Flat,,7.76 - 7.78,
,,,,,Punch Mouth Dia,,10.50 - 10.60,
,,,,,Punch ID,,7.85 - 7.87,
,,,,,,,,
,III Station,,,,,,,
,1st Bore,,7.08 - 7.09,,Punch Pin Dia,,19.50 - 19.52,
,2nd Bore,,7.08 - 7.09,,Punch Pin Flat,,9.60 - 9.62,
,Length Up To Pointing,,38.00 - 38.10,,Punch case Flat,,9.70 - 9.72,
,OAL,,119.90-120.10,,Punch case Dia,,19.60 - 19.62,
,IV Station,,,,,,,
,Washer Dia,,15.50 - 15.52,,Trim Die A/F,,8.42 - 8.48,
,Washer Flat,,8.20 - 8.22,,Trim Die A/C,,18.00 Ref.,
,Washer Depth,,0.40 - 0.50,,,,,
,1st Bore,,7.18 - 7.20,,,,,
,OAL,,119.90-120.10,,,,,
,General ( Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Inser Fit,,0.15-0.17,
,Tightness,,No loose,,Trim Die Fit,,0.10-0.12,
,K.O Pin movement,,Free Movement,,,,,
,,,,,,,,
,Inspected by:                             Verified by:                                    Approved by:,,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
