,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No. E008036202,,Desc:M8x1.25x36.5 Bolt Rear Sprocket ,,,
,M/c:,84S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,7.85 - 7.87,,Cutter,Bore,7.95 - 7.97,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,7.80 - 7.81,,Cone profile,,12°,
,OAL,,119.90 - 120.10,,Pin dia,,7.75 - 7.77,
,,,,,Cone ID,,7.80 - 7.82,
,,,,,Pin length,,40,
,II Station,,,,,,,
,1st Bore,,7.85 - 7.86,,Punch Profile Dia,,20 Ref.,
,Length up to pointing,,31.95 - 32.05,,Depth,,1.08 - 1.32,
,OAL,,119.90 - 120.10,,Grade,,10.9,
,III Station,,,,,,,
,1st Bore,,7.90 - 7.91,,Over Hang Mouth Dia,,16.45 - 16.55,
,Ext. land Dia,,7.08 - 7.09,,Inner Dia,,11.30 - 11.40,
,Relief Dia,,7.13 - 7.14,,Depth,,2.5 Ref.,
,OAL,,119.90 - 120.10,,,,,
,IV Station,,,,,,,
,1st Bore,,7.98 - 8.00,,Trim Die A/F,,11.75 - 11.80,
,2nd Bore,,7.90 - 7.92,,Trim Die A/C,,15.4 Ref.,
,OAL,,119.90 - 120.10,,Trimming Land Each Side,,1.00 - 1.05,
,General (Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Inser Fit,,0.15-0.17,
,Tightness,,No loose,,Heading Insert Fit,,0.1-0.15,
,K.O Pin movement,,Free Movement,,Trim Die Fit,,0.10-0.12,
,,,,,,,,
,"Prepared by:                                       Verified by:                                    Approved by:
                                                       QA Verified by:",,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
,,,,,,,,Date:22.03.2025
