,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No.T005009581/T005017581,,Desc:M5x0.8xL Torx Screw,,,
,M/c:,64S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,5.80 - 5.85,,Cutter,Bore,5.90-5.92,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,5.95-6.05,,Punch Insert ID,,5.75-5.77,
,Length upto pointing,,31.30-31.50,,Pin dia,,5.70-5.72,
,OAL,,119.90-120.10,,Pin Total length,,54.90-55.10,
,II Station,,,,,,,
,1st Bore,,6.15-6.25,,Punch Insert ID,,6.05-6.07,
,Extrusion Bore,,4.30-4.31,,Pin dia,,6.00-6.02,
,Ext. Die Relief Dia,,4.35-4.36,,Pin Total length,,52.50-52.60,
,OAL,,119.90-120.10,,,,,
,III Station,,,,,,,
,1st Step Bore,,7.44-7.45,,Sliding Punch mouth Dia,,12.00,
,1st Step Length,,2.79-2.80,,Inner Dia,,6.30-6.35,
,1st Bore Dia,,4.34-4.36,,Depth,,4.00 Ref.,
,OAL,,119.90-120.10,,Profile Radius,,R6,
,,,,,Punch Pin Dia,,6.25-6.27,
,IV Station,,,,,,,
,Top Nib Dia,,7.45-7.47,,Heading Insert Mouth Dia,,8.45-8.95,
,Top Nib Length,,2.57-2.63,,Heading Insert Mouth Angle,,52 Degree,
,1st Bore Dia,,4.38-4.40,,Depth,,3.15~3.45,
,OAL,,119.90-120.10,,Punch Pin,,JMP M50,
,General ( Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Inser Fit,,0.13-0.15,
,Tightness,,No loose,,Heading Insert Fit,,0.13-0.15,
,K.O Pin movement,,Free Movement,,,,,
,Inspected by:                                                 Verified by:                                                   Approved by:,,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
