,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No.P005028401,,Desc:M5x0.8x28 PAN HEAD SCREW,,,
,M/c:,64S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,5.80 - 5.85,,Cutter,Bore,5.90-5.92,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,5.98-6.00,,Punch Insert ID,,5.75-5.77,
,Length upto pointing,,31.30-31.50,,Pin dia,,5.70-5.72,
,OAL,,109.90-110.10,,Pin Total length,,54.90-55.10,
,II Station,,,,,,,
,1st Bore,,6.15-6.17,,Punch Insert ID,,6.10-6.12,
,Extrusion Bore,,4.35-4.37,,Pin dia,,6.05-6.07,
,Ext. Die Relief Dia,,4.40-4.42,,Pin Total length,,50.00-50.10,
,OAL,,109.90-110.10,,,,,
,III Station,,,,,,,
,1st  Bore,,6.20-6.22,,Punch Insert Depth,,2.20-2.70,
,2nd Bore,,4.38-4.40,,Punch Mouth Dia,,8.45-8.95,
,Pointing up to length,,13.00-13.05,,Punch Name,,JMP M50,
,OAL,,109.90-110.10,,,,,
,,,,,,,,
,General ( Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Inser Fit,,0.10-0.12,
,Tightness,,No loose,,Heading Insert Fit,,0.10-0.15,
,K.O Pin movement,,Free Movement,,,,,
,Inspected by:                                                            Verified by:                                        Approved by:,,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
