,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No.T005009581/T005017581,,Desc:M5x0.8xL Torx Screw,,,
,M/c:,64S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,5.80 - 5.82,,Cutter,Bore,5.90 - 5.92,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,5.98 - 6.00,,Punch Insert ID,,5.75 - 5.77,
,Length upto pointing,,31.30-31.50,,Pin dia,,5.70 - 5.72,
,OAL,,109.90 - 110.10,,Pin Total length,,54.90 - 55.10,
,II Station,,,,,,,
,1st Bore,,6.18 - 6.19,,Punch Insert ID,,6.05 - 6.07,
,Extrusion Bore,,4.30 - 4.31,,Pin dia,,6.00 - 6.02,
,Ext. Die Relief Dia,,4.35 - 4.36,,Pin Total length,,52.50 - 52.60,
,OAL,,109.90 - 110.10,,,,,
,III Station,,,,,,,
,1st Step Bore,,7.74 - 7.75,,Sliding Punch mouth Dia,,12.00 Ref.,
,1st Step Bore,,2.59 - 2.60,,Inner Dia,,6.30 - 6.35 ,
,1st Bore Dia,,4.34 - 4.36,,Depth,,4.00 Ref.,
,OAL,,109.90 - 110.10,,Profile Radius,,R6,
,,,,,Punch Pin Dia,,6.30 - 6.32,
,IV Station,,,,,,,
,Top Nib Dia,,7.95 - 7.97,,Heading Insert Mouth Dia,,13.25 - 13.50,
,Top Nib Length,,2.48 - 2.52,,Heading Insert Mouth Angle,,155 Degree,
,1st Bore Dia,,4.38-4.40,,Depth,,1.47 - 1.53,
,OAL,,109.90 - 110.10,,Punch Pin,,Torx T25,
,General (Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Inser Fit,,0.10-0.12,
,Tightness,,No loose,,Heading Insert Fit,,0.10-0.12,
,K.O Pin movement,,Free Movement,,,,,
,"Prepared by:                                                       Verified by:                                                              Approved by:
                                                                        QA Verified by:",,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
,,,,,,,,Date:22-05-2025
