,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No.W006009582,,Desc :  M6X1.0PX09 SOCKET STEP SCREW,,,
,M/c:,64S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,5.80 - 5.85,,Cutter,Bore,5.90-5.92,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,6.15-6.16,,Punch Insert ID,,5.75-5.77,
,Extrusion Bore,,     5.16-5.17,,Pin dia,,5.70-5.72,
,Ext. Die Relief Dia,,5.21-5.22,,Pin Total length,,54.90-55.10,
,OAL,,109.90-110.10,,,,,
,,,,,,,,
,II Station,,,,,,,
,1st Bore,,8.50-8.57,,Punch Insert ID,,6.28-6.30,
,1st Bore Depth,,1.00-1.10,,Pin dia,,6.23-6.25,
,2ND Bore,,   5.20-5.21,,Pin Total length,,50.00-50.10,
,OAL,,109.90-110.10,,Punch Mouth Dia,,10.30-10.50,
,,,,,Punch Mouth Angle,,45 deg per side,
,,,,,Angle Length,,(2.5),
,,,,,,,,
,III Station,,,,,,,
,1st  Bore,,    8.92-8.94,,Punch Insert Depth,,1.12 Ref,
,2nd Bore,,   5.24-5.27,,Punch Mouth Dia,,14.20-14.21,
,OAL,,109.90-110.10,,A/F,,5.02-5.08,
,,,,,A/C,,5.72 MIN.,
,,,,,,,,
,General ( Common for all stations),,,,,,,
,Visual:,,No damage,,Cone Inser Fit,,0.10-0.12,
,Tightness,,No loose,,Heading Insert Fit,,0.10-0.15,
,K.O Pin movement,,Free Movement,,,,,
,Inspected by:                                                            Verified by:                                        Approved by:,,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
