,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No.G006L401,,Desc:M6X1.0PXL HEX FLANGE SCREW,,,
,M/c:,64S,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,5.80 - 5.82,,Cutter,Bore,5.90 - 5.92,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,5.75 - 5.78,,Punch Profile ID,,6.50 - 6.52,
,Ext dia,,5.18 - 5.19,,Punch Inner ID,,5.75 - 5.77,
,Ext Angle,,15 deg,,Punch Profile,,5 deg Per Side,
,Ext Relief Dia,,5.23 - 5.24,,Punch Depth,,4.20 Ref.,
,OAL,,109.90 - 110.10,,,,,
,II Station,,,,,,,
,1st Bore,,5.21 - 5.22,,Sliding Punch Insert ID,,5.89 - 5.90,
,Mouth Dia,,10.40 - 10.41,,Sliding Punch Mouth Dia,,10.40 - 10.42,
,Mouth Angle,,80 Deg,,Mouth Angle,,14 Deg,
,OAL,,109.90 - 110.10,,Sliding Punch Profile Depth,,4.50 Ref.,
,,,,,Sliding Punch Pin OD,,5.85 - 5.86,
,III Station,,,,,,,
,1st Bore,,5.24 - 5.25,,Segmental Punch A/F,,9.83 - 9.85,
,2nd Bore,,5.23 - 5.24,,Hex Punch Pin A/F,,9.78 - 9.80,
,OAL,,109.90 - 110.10,,Hex punch Pin Profile Dia,,8.00 - 8.20,
,IV Station,,,,,,,
,1st Bore,,5.25 - 5.26,,Over Hang Tool Profile,,30 deg,
,Pointing up to length,,13.70 Ref.,,Over Hang Tool Profile Dia,,13.95 - 14.05,
,OAL,,109.90 - 110.10,,Depth,,1.17 Ref.,
,,,,,Over Hang Tool Inner Dia,,11.45 - 11.55,
,General ( Common for all stations),,,,,,,
,Visual:,,No damage,,Punch Insert Fit,,0.15 - 0.17,
,Tightness,,No loose,,,,,
,K.O Pin movement,,Free Movement,,,,,
,"Prepared by:                                                       Verified by:                                                              Approved by:
                                                                                 QA Verified by:",,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
