,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOOL STORE STOCK INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,,5293,,,,,,,,,,11/01/2024,,,,12/01/2024,,,,01/01/2025,,,,02/01/2025,,,,03/01/2025,,,,04/01/2025,,,,05/01/2025,,,,06/01/2025,,,,07/01/2025,,,,08/01/2025,,,,09/01/2025,,,,10/01/2025,,,,11/01/2025,,,,12/01/2025,,,,01/01/2026,,,,02/01/2026,,,,,03/01/2026,,,
,S.No.,"M/C 
Name","Part
Size","Pitch
(mm)",Wire Dia,Part Name,,,,,,,,,,,,,,,,,,STN,Tool Family Code,Tool Description,Tool Code,Marking,A/F,"Length
(mm) ",I/D (mm),,O/D (mm),,"Carbide Dia
(mm)","Pointing Length 
(mm)",,"Depth
(mm)","Tool
Mtrl.",Assumed Life,Actual Life,Rng Stock,"Location 
(RaN-RoN-BN)",Spare Stock,"Location 
(RaN-RoN-BN)",Min. Qty.,Max. Qty.,Total Prod. Plan Qty.,Forgb. Qty.,Reqd. Qty.,Last Physical Stock Checked On,Remarks,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock
,,,,,,HHB,HHS,SHCB,SHCS,HFB,HFS,FLG,SHFS,SHFB,TRXS,AXB,BHCS,DDB,SQB,THS,NIB,PINS,SSS,,,,,,,,FRONT,BACK,FRONT,BACK,,FRONT,BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64S,M6,1,,,,,a,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,T.01.0.001.012/00,,,90,20,20,39.97,,,,,20,,,,2,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,"5/16""",UNF,,,,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,115,30,28,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,a,,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,101,30,28,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,a,,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,115,26,27,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,a,a,a,a,,,,,,,,,a,a,,,,,1,001,Cone Tool Punch Case,T.02.0.001.010/00,,,115,25,28,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,,,,,,,,,,,,,a,,,,,,3,001,Cone Tool Punch Case,T.02.0.001.015/01,,,115,,25,45,,,,,,,,,4,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,M10,1.5,,a,,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,100,30,40,65,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,M10,1.5,,a,,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,T.03.0.001.001/02,,,98.5,29,40,60,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
